id,name,price,user_id,description,condition,delivery_cost,delivery_origin,preparatory_days,category_id,size_id,delivery_way,brand
1,コート,12200,1,おしゃれ,新品、未使用,着払い(購入者負担),21,1~2日で発送,34,3,クロネコヤマト,バーバリー
2,スカート,16300,2,おしゃれ,目立った傷や汚れなし,送料込み(出品者負担),45,1~2日で発送,59,3,ゆうパック,ローリーズ ファーム
3,カットソー,32700,2,おしゃれ,傷や汚れあり,送料込み(出品者負担),24,4~7日で発送,4,5,ゆうパック,アーバン リサーチ
4,タートルネックニット,36600,2,おしゃれ,未使用に近い,送料込み(出品者負担),10,4~7日で発送,11,4,ゆうパック,アーバン リサーチ
5,カーディガン,11700,2,おしゃれ,新品、未使用,着払い(購入者負担),17,4~7日で発送,13,4,ゆうメール,アーバン リサーチ
6,ワンピース,45200,1,おしゃれ,目立った傷や汚れなし,着払い(購入者負担),36,4~7日で発送,62,3,ゆうメール,アーバン リサーチ
7,パーカー,31000,2,おしゃれ,目立った傷や汚れなし,着払い(購入者負担),40,1~2日で発送,214,4,未定,
8,Tシャツ,22000,2,おしゃれ,未使用に近い,送料込み(出品者負担),4,4~7日で発送,208,4,ゆうパック,ステューシー
9,マウンテンパーカー,46000,2,おしゃれ,目立った傷や汚れなし,着払い(購入者負担),17,1~2日で発送,239,3,クロネコヤマト,ザ ノースフェイス
10,ジーンズ,44400,2,おしゃれ,新品、未使用,着払い(購入者負担),37,1~2日で発送,245,4,ゆうパック,
11,スーツ,33700,1,おしゃれ,新品、未使用,送料込み(出品者負担),10,2~3日で発送,280,4,未定,ナノ ユニバース
12,モッズコート,25500,2,おしゃれ,新品、未使用,着払い(購入者負担),35,1~2日で発送,234,3,ゆうパック,フレッド ペリー
13,エスプレッソマシン,36500,1,とても便利,未使用に近い,送料込み(出品者負担),22,1~2日で発送,979,,ゆうメール,
14,iPad Pro,14300,1,とても便利,目立った傷や汚れなし,着払い(購入者負担),32,1~2日で発送,916,,ゆうパック,
15,カメラ,26900,1,とても便利,未使用に近い,着払い(購入者負担),37,1~2日で発送,925,,ゆうメール,
16,ダイソンHot & Cool,27600,1,とても便利,やや傷や汚れあり,着払い(購入者負担),17,2~3日で発送,961,,ゆうメール,
17,ダイソン掃除機,47800,2,とても便利,傷や汚れあり,送料込み(出品者負担),29,2~3日で発送,978,,ゆうパック,
18,GoPro Hero8,19200,1,とても便利,傷や汚れあり,送料込み(出品者負担),43,4~7日で発送,925,,未定,
19,シルバニアハウス,24600,2,楽しい,未使用に近い,着払い(購入者負担),19,2~3日で発送,688,,未定,
20,ガンプラ ストライクフリーダムガンダム,24500,1,楽しい,新品、未使用,送料込み(出品者負担),13,2~3日で発送,694,,クロネコヤマト,
21,遊戯王カード,22300,2,楽しい,目立った傷や汚れなし,着払い(購入者負担),36,2~3日で発送,714,,クロネコヤマト,
22,プリキュア変身グッズ,17900,2,楽しい,未使用に近い,着払い(購入者負担),8,2~3日で発送,688,,ゆうメール,
23,STAR WARSフィギュア,34000,1,楽しい,未使用に近い,着払い(購入者負担),9,2~3日で発送,732,,ゆうメール,
24,ラジコン,32500,2,楽しい,傷や汚れあり,送料込み(出品者負担),34,1~2日で発送,695,,ゆうパック,
25,ショルダーバッグ,37600,1,おしゃれ,未使用に近い,送料込み(出品者負担),37,2~3日で発送,108,,ゆうメール,シャネル
26,財布,12300,2,おしゃれ,目立った傷や汚れなし,着払い(購入者負担),46,4~7日で発送,138,,ゆうメール,シャネル
27,ウェストバッグ,45800,2,おしゃれ,未使用に近い,送料込み(出品者負担),35,4~7日で発送,111,,未定,シャネル
